frame_id,object_id,class_label,original_x,original_y,team_id,role,pitch_x,pitch_y
0,1,player,847.5,458.0,1,teamB,36.92408752441406,31.71515464782715
0,2,player,1471.5,449.0,1,teamB,56.53465270996094,27.85776710510254
0,3,player,1015.5,580.0,0,teamA,43.95335388183594,43.6399040222168
0,4,player,1019.0,398.0,2,referee,41.40201187133789,22.617517471313477
0,5,player,1347.5,562.0,1,teamB,52.59150314331055,40.61499786376953
0,6,player,339.5,441.0,0,teamA,18.83843994140625,31.903167724609375
0,7,player,931.0,329.0,1,teamB,36.25432205200195,10.780435562133789
0,8,player,1364.5,350.0,1,teamB,53.50198745727539,13.109342575073242
0,9,player,548.0,358.0,0,teamA,21.821266174316406,17.99789047241211
0,10,player,167.0,438.0,0,teamA,12.34887981414795,32.34728240966797
0,11,player,639.0,354.0,1,teamB,25.332551956176758,16.859220504760742
0,12,player,497.0,325.0,1,teamB,17.340303421020508,11.763514518737793
0,13,player,1682.5,1079.0,2,referee,57.35776138305664,66.95438385009766
0,14,player,1224.0,376.0,1,teamB,48.43024826049805,18.22208023071289
0,15,player,702.0,302.0,1,teamB,25.02754020690918,5.844425678253174
0,16,player,1194.0,314.0,1,teamB,46.740966796875,6.627994537353516
0,17,player,1435.5,428.0,0,teamA,55.557796478271484,25.21648597717285
0,18,player,964.5,348.0,0,teamA,38.189937591552734,14.350563049316406
0,19,player,448.5,310.0,0,teamA,13.878863334655762,8.703274726867676
0,20,player,1115.5,352.0,0,teamA,44.14667892456055,14.47125244140625
0,21,player,830.0,292.0,0,teamA,30.327320098876953,2.9947385787963867
0,22,player,1293.0,317.0,0,teamA,50.767635345458984,6.896661281585693
1,1,player,847.5,458.0,1,teamB,36.92408752441406,31.71515464782715
1,2,player,1471.5,449.0,1,teamB,56.53465270996094,27.85776710510254
1,3,player,1016.0,580.0,0,teamA,43.96656799316406,43.637725830078125
1,4,player,1019.0,398.0,2,referee,41.40201187133789,22.617517471313477
1,5,player,1347.5,562.0,1,teamB,52.59150314331055,40.61499786376953
1,6,player,339.5,441.0,0,teamA,18.83843994140625,31.903167724609375
1,7,player,931.0,329.0,1,teamB,36.25432205200195,10.780435562133789
1,8,player,1364.5,350.0,1,teamB,53.50198745727539,13.109342575073242
1,9,player,548.0,358.0,0,teamA,21.821266174316406,17.99789047241211
1,10,player,167.0,438.0,0,teamA,12.34887981414795,32.34728240966797
